X.1,U.S. adults,Republicans,Independents,Democrats
,%,%,%,%
<b>Do you favor or oppose increasing offshore drilling for oil and gas in U.S. coastal areas?</b>,,,,
Favor,50,85,43,17
Oppose,46,13,52,79
,,,,
<b>Do you favor or oppose hydraulic fracturing or “fracking” as a means of increasing the production of natural gas and oil in the U.S.?</b>,,,,
Favor,45,81,40,15
Oppose,48,19,49,79
,,,,
<b>Do you think the Arctic National Wildlife Refuge in Alaska should or should not be opened up for oil exploration?</b>,,,,
"Yes, should",35,63,36,6
"No, should not",61,30,60,92
