"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","195713","1","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","195813","1","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","195913","2","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196013","3","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196113","3","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196213","9","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196313","11","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196413","13","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196513","13","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196613","14","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196713","15","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196813","13","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","196913","17","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197013","20","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197113","22","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197213","27","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197301","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197302","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197303","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197304","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197305","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197306","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197307","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197308","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197309","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197310","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197311","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197312","42","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197313","42","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197401","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197402","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197403","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197404","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197405","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197406","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197407","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197408","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197409","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197410","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197411","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197412","55","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197413","55","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197501","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197502","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197503","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197504","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197505","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197506","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197507","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197508","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197509","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197510","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197511","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197512","57","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197513","57","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197601","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197602","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197603","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197604","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197605","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197606","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197607","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197608","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197609","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197610","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197611","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197612","63","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197613","63","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197701","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197702","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197703","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197704","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197705","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197706","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197707","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197708","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197709","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197710","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197711","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197712","67","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197713","67","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197801","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197802","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197803","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197804","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197805","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197806","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197807","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197808","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197809","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197810","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197811","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197812","70","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197813","70","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197901","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197902","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197903","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197904","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197905","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197906","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197907","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197908","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197909","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197910","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197911","Not Available","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","197912","69","1","Nuclear Generating Units, Total Operable Units","Number"
