Reason Category,Percentage (%),Notes
Safety concerns (NET),44,Total of safety sub-categories
General mentions of not being safe,23,Sub-category of Safety
Risk of failure/catastrophe,16,Includes specific disasters (e.g. Chernobyl)
Risk to human health specifically,5,Sub-category of Safety
Risk to local community generally,3,Sub-category of Safety
War or terrorism risk,2,Sub-category of Safety
General environmental concerns,14,
Concerns about toxic waste,14,
Other sources are better (NET),6,Total of comparison sub-categories
Renewables are better,3,Sub-category of Other sources better
Other sources are better (nonspecific),2,Sub-category of Other sources better
Don't have confidence in regulation/management,2,
Infrastructure is expensive/slow/resource heavy,2,
Mentions benefits as well as risks,1,Mixed sentiment
Risks outweigh the benefits,1,
We don't need nuclear power,1,
Don't know enough about nuclear power,4,
Other,5,
Unclear,4,
Don't know,1,
No answer,20,
