Energy Source,Date,Favor (%),Oppose (%),No Answer (%)
Offshore Oil and Gas Drilling,Apr 28-May 4 2025,48,50,2
Offshore Oil and Gas Drilling,May 13-19 2024,48,49,3
Offshore Oil and Gas Drilling,May 30-Jun 4 2023,47,50,2
Offshore Oil and Gas Drilling,May 2-8 2022,48,50,2
Offshore Oil and Gas Drilling,Apr 20-29 2021,43,55,3
Offshore Oil and Gas Drilling,Apr 29-May 5 2020,40,58,2
Offshore Oil and Gas Drilling,Oct 1-13 2019,42,56,1
Offshore Oil and Gas Drilling,Mar 27-Apr 9 2018,39,60,1
Offshore Oil and Gas Drilling,May 10-Jun 6 2016,45,52,3
Nuclear Power Plants,Apr 28-May 4 2025,59,39,2
Nuclear Power Plants,May 13-19 2024,56,41,3
Nuclear Power Plants,May 30-Jun 4 2023,57,41,2
Nuclear Power Plants,May 2-8 2022,54,44,2
Nuclear Power Plants,Apr 20-29 2021,50,47,3
Nuclear Power Plants,Apr 29-May 5 2020,43,55,2
Nuclear Power Plants,Oct 1-13 2019,49,49,2
Nuclear Power Plants,Mar 27-Apr 9 2018,44,54,2
Nuclear Power Plants,May 10-Jun 6 2016,43,54,3
Coal Mining,Apr 28-May 4 2025,41,57,2
Coal Mining,May 13-19 2024,39,58,3
Coal Mining,May 30-Jun 4 2023,38,60,2
Coal Mining,May 2-8 2022,36,62,2
Coal Mining,Apr 20-29 2021,36,61,3
Coal Mining,Apr 29-May 5 2020,33,65,2
Coal Mining,Oct 1-13 2019,35,63,2
Coal Mining,Mar 27-Apr 9 2018,37,61,2
Coal Mining,May 10-Jun 6 2016,41,57,3
Solar Panel Farms,Apr 28-May 4 2025,77,22,1
Solar Panel Farms,May 13-19 2024,78,20,2
Solar Panel Farms,May 30-Jun 4 2023,82,17,1
Solar Panel Farms,May 2-8 2022,86,13,1
Solar Panel Farms,Apr 20-29 2021,84,14,2
Solar Panel Farms,Apr 29-May 5 2020,90,9,1
Solar Panel Farms,Oct 1-13 2019,92,8,1
Solar Panel Farms,Mar 27-Apr 9 2018,89,10,1
Solar Panel Farms,May 10-Jun 6 2016,89,9,2
Hydraulic Fracturing (Fracking),Apr 28-May 4 2025,45,51,3
Hydraulic Fracturing (Fracking),May 13-19 2024,44,53,3
Hydraulic Fracturing (Fracking),May 30-Jun 4 2023,44,53,2
Hydraulic Fracturing (Fracking),May 2-8 2022,45,53,2
Hydraulic Fracturing (Fracking),Apr 20-29 2021,41,56,3
Hydraulic Fracturing (Fracking),Apr 29-May 5 2020,37,60,3
Hydraulic Fracturing (Fracking),Oct 1-13 2019,38,60,2
Hydraulic Fracturing (Fracking),Mar 27-Apr 9 2018,39,58,3
Hydraulic Fracturing (Fracking),May 10-Jun 6 2016,42,53,5
Wind Turbine Farms,Apr 28-May 4 2025,68,31,1
Wind Turbine Farms,May 13-19 2024,72,26,2
Wind Turbine Farms,May 30-Jun 4 2023,75,23,1
Wind Turbine Farms,May 2-8 2022,79,19,1
Wind Turbine Farms,Apr 20-29 2021,77,20,2
Wind Turbine Farms,Apr 29-May 5 2020,83,16,2
Wind Turbine Farms,Oct 1-13 2019,85,14,1
Wind Turbine Farms,Mar 27-Apr 9 2018,85,13,2
Wind Turbine Farms,May 10-Jun 6 2016,83,14,3
Offshore Wind Turbine Farms,Apr 28-May 4 2025,69,30,2
Offshore Wind Turbine Farms,Apr 20-29 2021,75,23,3
