id,yr,worry_cchange,prezjob_envt,prezjob_energy,govprotect,envt1,envt2,econ_v_envt,engy_v_envt,envworry_toxicwst,envworry_radioactivity,gw_understand,gw_serious,gw_laws_econ,fracking,energyserious,energy_shortage,solution_conserv,nucfav,nucsafe,nucfav_area,fav_nuclear,fav_openland,fav_mandateC02,fav_solar,fav_altfuel,fav_mandateC02bus,fav_engylimits,fav_coal,emph_coal,emph_oil,emph_ngas,emph_wind,emph_solar,emph_nuclear,favor_reduce_fossil,envdone_vote,envdone_reduce,envdone_petition,envdone_stocks,envtrust_congress,envtrust_reps,envtrust_dems,pay100more,environmentalist,econ1,econ2,arealive_rec,age,educ,party,jobtype,religion,nucfav_binary,nuclear_target
1,2001,,Poor job,Poor job,Too little,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",DK,A great deal,A great deal,Not at all,DK,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,DK,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,,,Poor,Getting Worse,,34.0,HS or Less,Democrat,,,,0
2,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,35.0,Some college,Lean Democratic,,,Oppose,0
3,2001,,Good job,Good job,Too little,Good,Same (VOL),"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Somewhat oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Better,,42.0,Post-grad,Republican,,,,0
4,2001,,Fair/Mixed (VOL),Fair/Mixed (VOL),About the right amount,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Same (VOL),,83.0,HS or Less,Lean Republican,,,,0
5,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Very well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Strongly oppose,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,36.0,HS or Less,"Independent, no lean",,,,1
6,2001,,Poor job,Good job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Not very well,Gennerally correct,,,Very serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,DK,,,DK,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,45.0,Some college,Republican,,,Favor,1
7,2001,,Poor job,Poor job,Too little,Good,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,A fair amount,Very well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Somewhat favor,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Worse,,29.0,Post-grad,Democrat,,,,1
8,2001,,Poor job,Good job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",Not at all,A fair amount,Very well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Worse,,21.0,HS or Less,Republican,,,,0
9,2001,,Good job,Poor job,About the right amount,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Not very well,Generally exaggerated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Oppose,,,Favor,,,,,,,,,,,,,,,,,,Good,Getting Worse,,77.0,HS or Less,Democrat,,,,0
10,2001,,Poor job,Poor job,About the right amount,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A fair amount,A fair amount,Very well,Gennerally correct,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,51.0,Post-grad,Republican,,,Favor,1
11,2001,,DK,Poor job,Too little,Only Fair,Getting Worse,Equal Priority (VOL),"Protect Enviornment, even at risk of limiting energy supplies",A fair amount,A fair amount,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,,,Strongly favor,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Good,Getting Worse,,46.0,College Grad only,Republican,,,,1
12,2001,,Good job,Good job,Too much,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Strongly favor,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Good,Getting Worse,,19.0,HS or Less,Democrat,,,,0
13,2001,,Poor job,Poor job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Very well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Somewhat favor,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Excellent,Same (VOL),,82.0,College Grad only,Democrat,,,,1
15,2001,,Good job,Poor job,Too little,Good,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,Only a little,Only a little,Not very well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,33.0,College Grad only,Lean Republican,,,Favor,1
16,2001,,Good job,Good job,About the right amount,Good,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Not very well,Generally exaggerated,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Strongly oppose,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,40.0,College Grad only,Lean Democratic,,,,0
17,2001,,Poor job,Poor job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Excellent,Getting Worse,,65.0,Some college,Democrat,,,Oppose,0
18,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Very well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,51.0,Post-grad,Lean Democratic,,,Oppose,0
19,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,65.0,College Grad only,Lean Democratic,,,,1
20,2001,,Good job,Good job,About the right amount,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Not at all,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Better,,34.0,HS or Less,Republican,,,,1
21,2001,,Poor job,Poor job,Too little,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,A fair amount,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,49.0,Post-grad,Lean Democratic,,,Favor,1
22,2001,,Good job,Good job,Too much,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Both Equally (VOL),A great deal,A great deal,Not very well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Somewhat oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,85.0,Post-grad,Lean Republican,,,,0
24,2001,,Poor job,Poor job,About the right amount,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,Only a little,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,No,,Fair,Getting Worse,,40.0,HS or Less,Lean Democratic,,,Oppose,0
25,2001,,Good job,Good job,Too much,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,Only a little,Only a little,Very well,Generally exaggerated,,,Not at all serious,"No, is not",Emphasize more conservation by consumers,,,Somewhat favor,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Better,,36.0,Some college,Republican,,,,1
26,2001,,DK,DK,Too little,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,Only a little,DK,Generally underestimated,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,Favor,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,42.0,Some college,"Independent, no lean",,,Favor,1
28,2001,,Good job,Good job,About the right amount,DK,Getting Worse,DK,DK,A great deal,Not at all,Not very well,Generally exaggerated,,,Not at all serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,No,,Fair,Getting Better,,43.0,HS or Less,Republican,,,Oppose,0
30,2001,,Poor job,Poor job,Too little,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",DK,Strongly oppose,,,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,Yes,,Fair,Same (VOL),,23.0,HS or Less,Lean Democratic,,,Oppose,0
31,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,Equal Priority (VOL),"Protect Enviornment, even at risk of limiting energy supplies",A great deal,A fair amount,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Somewhat favor,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,51.0,Post-grad,Democrat,,,,1
32,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Not very well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,24.0,College Grad only,Democrat,,,Oppose,0
34,2001,,Good job,Good job,Too little,Only Fair,Same (VOL),"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,DK,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Same (VOL),,63.0,Post-grad,Republican,,,,1
35,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,No,,Fair,Getting Worse,,71.0,Post-grad,Democrat,,,Favor,1
36,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,Only a little,Only a little,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,Favor,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,Yes,,Fair,Getting Better,,44.0,HS or Less,Lean Republican,,,Favor,1
37,2001,,Poor job,Good job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Very well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Good,Getting Worse,,,DK/REF,Republican,,,,0
38,2001,,Good job,Good job,About the right amount,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,67.0,College Grad only,Democrat,,,Favor,1
39,2001,,Poor job,Poor job,Too little,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Not very well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",,,Somewhat favor,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,41.0,Some college,Democrat,,,,0
40,2001,,Poor job,Good job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Very well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Poor,Getting Worse,,31.0,HS or Less,Democrat,,,,0
41,2001,,Poor job,Good job,Too little,Only Fair,Same (VOL),"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Not very well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly oppose,,,Oppose,,,Favor,,,DK,,,,,,,,,,,,,,,,Yes,,Fair,Getting Worse,,52.0,Post-grad,Democrat,,,Oppose,0
42,2001,,Good job,Good job,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,Yes,,Good,DK,,36.0,Some college,Republican,,,Favor,1
43,2001,,Poor job,Poor job,Too little,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,Only a little,Fairly well,Generally underestimated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,No,,Good,Getting Worse,,70.0,HS or Less,Lean Republican,,,Oppose,0
44,2001,,Fair/Mixed (VOL),Fair/Mixed (VOL),About the right amount,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,Only a little,A fair amount,Not very well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Excellent,Getting Worse,,52.0,Post-grad,Republican,,,,0
45,2001,,Good job,Good job,About the right amount,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A fair amount,A fair amount,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Both Equally (VOL),,,Strongly favor,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,DK,,30.0,Some college,Democrat,,,,1
46,2001,,DK,DK,Too little,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth",DK,A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Worse,,70.0,College Grad only,Democrat,,,,0
47,2001,,DK,DK,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly oppose,,,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,No,,Poor,Getting Worse,,30.0,HS or Less,"Independent, no lean",,,Oppose,0
48,2001,,Poor job,Poor job,About the right amount,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Poor,Getting Better,,41.0,HS or Less,Democrat,,,,1
49,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Good,Getting Worse,,41.0,Some college,"Independent, no lean",,,,0
50,2001,,Good job,Good job,Too little,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A fair amount,A fair amount,Fairly well,Generally exaggerated,,,Very serious,"Yes, is",Both Equally (VOL),,,Somewhat oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,39.0,College Grad only,Republican,,,,0
51,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",Only a little,A great deal,Not very well,DK,,,Very serious,"No, is not","Emphasize production of more oil, gas and coal supplies",,,Strongly favor,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Good,Getting Better,,60.0,HS or Less,Lean Republican,,,,1
52,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,Oppose,,,Oppose,,,Oppose,,,,,,,,,,,,,,,,No,,Fair,Getting Worse,,75.0,HS or Less,Republican,,,Oppose,0
53,2001,,Poor job,Poor job,Too little,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Generally underestimated,,,Not at all serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,60.0,Some college,Lean Democratic,,,,0
54,2001,,Good job,Good job,About the right amount,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A fair amount,Not at all,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Both Equally (VOL),Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,51.0,Some college,Republican,,,Favor,1
55,2001,,Poor job,Good job,Too little,Only Fair,Getting Worse,Equal Priority (VOL),"Protect Enviornment, even at risk of limiting energy supplies",A great deal,A fair amount,Very well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly favor,Favor,,,Favor,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,46.0,College Grad only,Lean Democratic,,,,1
56,2001,,Poor job,Poor job,About the right amount,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A great deal,A great deal,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Favor,,,Oppose,,,,,,,,,,,,,,,,,,Fair,Getting Better,,23.0,HS or Less,Lean Democratic,,,,0
57,2001,,Good job,Good job,About the right amount,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,DK,,,Fairly serious,DK,Emphasize more conservation by consumers,,,Strongly oppose,Oppose,,,Oppose,,,Favor,,,,,,,,,,,,,,,,,,Fair,Getting Worse,,87.0,HS or Less,Democrat,,,,0
58,2001,,Good job,Good job,Too little,Good,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A fair amount,Fairly well,Generally underestimated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Better,,65.0,HS or Less,Republican,,,Favor,1
59,2001,,Poor job,Poor job,Too little,Poor,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",A great deal,A great deal,Fairly well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,Oppose,,,Favor,,,Favor,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,65.0,Some college,Democrat,,,Oppose,0
60,2001,,Good job,Good job,About the right amount,Excellent,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,A fair amount,A fair amount,Very well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,Favor,,,Favor,,,Oppose,,,,,,,,,,,,,,,,Yes,,Good,Getting Worse,,46.0,Post-grad,Republican,,,Favor,1
