Year,U.S.-origin uranium (weighted-average price),Foreign-origin uranium (weighted-average price),Nuclear Fuel Share (Percent),nuclear_support_pct,nuclear_opposition_pct,republican_nuclear_support_pct,independents_nuclear_support_pct,democrats_nuclear_support_pct,pct_prefer_nonrenewable_energy,pct_prefer_alternative_energy,pct_concern_energy_affordability,nuclear_generation_gwh,percent_favor,percent_oppose,percent_strongly_favor,percent_strongly_oppose,"Nuclear Generating Units, Total Operable Units","Nuclear Generating Units, Net Summer Capacity",Nuclear Electricity Net Generation,Nuclear Share of Electricity Net Generation,"Nuclear Generating Units, Capacity Factor"
1957,,,,,,,,,,,,,,,,,1,0.055,10,0,Not Available
1958,,,,,,,,,,,,,,,,,1,0.055,165,0,Not Available
1959,,,,,,,,,,,,,,,,,2,0.055,188,0,Not Available
1960,,,,,,,,,,,,,,,,,3,0.411,518,0.1,Not Available
1961,,,,,,,,,,,,,,,,,3,0.411,1692,0.2,Not Available
1962,,,,,,,,,,,,,,,,,9,0.733,2270,0.3,Not Available
1963,,,,,,,,,,,,,,,,,11,0.793,3212,0.3,Not Available
1964,,,,,,,,,,,,,,,,,13,0.793,3343,0.3,Not Available
1965,,,,,,,,,,,,,,,,,13,0.793,3657,0.3,Not Available
1966,,,,,,,,,,,,,,,,,14,1.679,5520,0.5,Not Available
1967,,,,,,,,,,,,,,,,,15,2.684,7655,0.6,Not Available
1968,,,,,,,,,,,,,,,,,13,2.728,12528,0.9,Not Available
1969,,,,,,,,,,,,,,,,,17,4.428,13928,1,Not Available
1970,,,,,,,,,,,,,,,,,20,7.004,21804,1.4,Not Available
1971,,,2.4,,,,,,,,,,,,,,22,9.033,38105,2.4,Not Available
1972,,,3.1,,,,,,,,,,,,,,27,14.481,54091,3.1,Not Available
1973,,,4.5,,,,,,,,,,,,,,42,22.683,83479,4.5,53.5
1974,,,6.1,,,,,,,,,,,,,,55,31.867,113976,6.1,47.8
1975,,,9.0,,,,,,,,,,,,,,57,37.267,172505,9,55.9
1976,,,9.4,,,,,,,,,,,,,,63,43.822,191104,9.4,54.7
1977,,,11.8,,,,,,,,,,,,,,67,46.303,250883,11.8,63.3
1978,,,12.5,,,,,,,,,,,,,,70,50.824,276403,12.5,64.5
1979,,,11.3,,,,,,,,,,,,,,69,49.747,255155,11.3,58.4
1980,,,11.0,,,,,,,,,,,,,,71,51.81,251116,11,56.3
1981,,,11.9,,,,,,,,,,,,,,75,56.042,272674,11.9,58.2
1982,,,12.6,,,,,,,,,,,,,,78,60.035,282773,12.6,56.6
1983,,,12.7,,,,,,,,,,,,,,81,63.009,293677,12.7,54.4
1984,,,13.5,,,,,,,,,,,,,,87,69.652,327634,13.5,56.3
1985,,,15.5,,,,,,,,,,,,,,96,79.397,383691,15.5,58
1986,,,16.6,,,,,,,,,,,,,,101,85.241,414038,16.6,56.9
1987,,,17.7,,,,,,,,,,,,,,107,93.583,455270,17.7,57.4
1988,,,19.5,,,,,,,,,,,,,,109,94.695,526973,19.5,63.5
1989,,,17.8,,,,,,,,,,,,,,111,98.161,529355,17.8,62.2
1990,,,19.0,,,,,,,,,,,,,,112,99.624,576862,19,66
1991,,,19.9,,,,,,,,,,,,,,111,99.589,612565,19.9,70.2
1992,,,20.1,,,,,,,,,,,,,,109,98.985,618776,20.1,70.9
1993,,,19.1,,,,,,,,,,,,,,110,99.041,610291,19.1,70.5
