,percent_favor
pct_prefer_nonrenewable_energy,0.7315181591242355
age_75.0,0.6665024784437811
age_97.0,0.6622859502803042
religion_Other,0.6506498952417165
Year,0.6365568594478864
age_79.0,0.620215669312894
age_86.0,0.6047664059998009
educ_College Grad only,0.5783473863347509
age_99.0,0.5725131328938361
age_84.0,0.5533999313631902
age_65_plus,0.552910598318656
religion_Muslim,0.5465769651470612
age_80.0,0.5394996595247364
nucfav_Strongly favor,0.539246118179826
envt1_Poor,0.5253267728219821
envt1_Excellent,0.5217762816360165
age_74.0,0.5089812065788957
nucfav_DK,-0.5168537917890864
gw_serious_DK,-0.518062394486935
educ_HS or Less,-0.5467006290845042
engy_v_envt_DK,-0.583405654292817
gw_understand_Not at all,-0.5853124814154455
energyserious_DK,-0.620094584143613
"Nuclear Generating Units, Net Summer Capacity",-0.6522117939765574
"Nuclear Generating Units, Total Operable Units",-0.66096442446963
pct_prefer_alternative_energy,-0.6764548029324345
age_96.0,-0.7218230079869173
percent_strongly_oppose,-0.7618267821659043
Nuclear Fuel Share (Percent),-0.7635426744081294
Nuclear Share of Electricity Net Generation,-0.780441593744329
percent_oppose,-0.9204913980697529
