,percent_favor
percent_favor,1.0
pct_prefer_nonrenewable_energy,0.7315181591242355
religion_Other,0.6506498918878958
Year,0.6365568594478864
educ_College Grad only,0.5783473862298859
religion_Muslim,0.5465769767790544
envt1_Poor,0.5253267734973642
envt1_Excellent,0.5217762783316819
govprotect_Too much,0.48667454737551885
gw_understand_Very well,0.4604294339891474
religion_Catholic,0.4529891946068193
engy_v_envt_Developing Energy Supplies Given Priority,0.43437556116444276
party_Lean Republican,0.4235678686963394
religion_Adventists Church,0.3844063596348214
gw_serious_Generally exaggerated,0.37762475071573637
energyserious_Very serious,0.3391589317546977
percent_strongly_favor,0.3139686864470303
nuclear_support_pct,0.3049806926526933
envt1_REF,0.29416964837842086
pct_concern_energy_affordability,0.27015581388738186
religion_Other Christian,0.238804772560927
prezjob_energy_Good job,0.23385245450615066
"econ_v_envt_Economic Growth Priority, even if enviornment suffers to some extent",0.23375252251395995
religion_Agnostic,0.2316671643013833
educ_Some college,0.19191578297556758
party_Lean Democratic,0.17972614275821666
gw_understand_Fairly well,0.1686229339900204
gw_serious_Generally underestimated,0.16111552916058852
govprotect_REF,0.15251631740863975
religion_Jewish,0.14789107778684937
envt2_REF,0.14653543657768422
educ_Post-grad,0.138214463748277
gw_understand_DK,0.12540487224413965
religion_Buddhism,0.10757841256236032
age_65+,0.08984427886953965
favor_nuclear,0.08076667250640863
religion_REF,0.07947916455494874
envt2_Getting Better,0.0385308671094197
econ_v_envt_REF,0.033013502359024914
envt2_Getting Worse,-0.007862683065702933
oppose_nuclear,-0.008347151983943509
envt2_Same (VOL),-0.037946458889679395
religion_Hinduism,-0.06488952871353008
energyserious_REF,-0.06567594566772367
religion_Mormon,-0.06688777214486744
religion_Atheist,-0.06942012550786637
prezjob_energy_Poor job,-0.08837570918968853
religion_Other Non-Christian,-0.08871697772929751
engy_v_envt_REF,-0.1018243880845032
religion_Orthodox,-0.10400171695433133
gw_understand_REF,-0.10668567319755973
educ_DK/REF,-0.12160175964227429
religion_Mennonite/Amish,-0.12625848497629105
prezjob_energy_REF,-0.13058141069781082
"econ_v_envt_Protect Environment, even at risk of curbing economic growth",-0.13073838191491122
energyserious_Not at all serious,-0.14503719123244818
nuclear_opposition_pct,-0.14659524419319733
party_Republican,-0.14938247849972963
"party_Independent, no lean",-0.15474521265828609
religion_DK,-0.18787000677654078
envt1_DK,-0.20114036215621825
envt2_DK,-0.21788969381570672
age_18-29,-0.2181569060426313
envt1_Only Fair,-0.23805389921031173
"engy_v_envt_Protect Enviornment, even at risk of limiting energy supplies",-0.24948710914671607
religion_Christian Science,-0.2570747018793807
gw_serious_REF,-0.2639804950642866
nucfav_REF,-0.2753902624974643
govprotect_Too little,-0.2909511640816836
engy_v_envt_Neither/Other (VOL),-0.32545272427682215
energyserious_Fairly serious,-0.33613544982813587
econ_v_envt_DK,-0.3526169987428958
age_45-64,-0.3547250155486169
religion_Jehovahs Witness,-0.35723622369427815
econ_v_envt_Equal Priority (VOL),-0.36359579734645797
prezjob_energy_Fair/Mixed (VOL),-0.36504081059289395
age_30-44,-0.3668265407077364
govprotect_About the right amount,-0.3728302105886916
engy_v_envt_Both Equally (VOL),-0.3804890622550112
party_Democrat,-0.38118777004599197
govprotect_DK,-0.38506685150454156
religion_Protestant,-0.4051890028000172
envt1_Good,-0.4311526982119989
prezjob_energy_DK,-0.4471968861372352
gw_understand_Not very well,-0.4575018621861066
gw_serious_Gennerally correct,-0.4767723128954819
nucfav_DK,-0.5168537876432788
gw_serious_DK,-0.5180623941458472
educ_HS or Less,-0.5467006290474709
engy_v_envt_DK,-0.5834056576811376
gw_understand_Not at all,-0.5853124882695675
energyserious_DK,-0.6200945802940174
"Nuclear Generating Units, Net Summer Capacity",-0.6522117939765577
"Nuclear Generating Units, Total Operable Units",-0.66096442446963
pct_prefer_alternative_energy,-0.6764548029324345
percent_strongly_oppose,-0.7618267821659043
Nuclear Fuel Share (Percent),-0.7635426744081294
Nuclear Share of Electricity Net Generation,-0.780441593744329
percent_oppose,-0.9204913980697529
