,percent_favor
pct_prefer_nonrenewable_energy,0.7315181591242355
religion_Other,0.6506498918878958
Year,0.6365568594478864
educ_College Grad only,0.5783473862298859
religion_Muslim,0.5465769767790544
envt1_Poor,0.5253267734973642
envt1_Excellent,0.5217762783316819
nucfav_DK,-0.5168537876432788
gw_serious_DK,-0.5180623941458472
educ_HS or Less,-0.5467006290474709
engy_v_envt_DK,-0.5834056576811376
gw_understand_Not at all,-0.5853124882695675
energyserious_DK,-0.6200945802940174
"Nuclear Generating Units, Net Summer Capacity",-0.6522117939765577
"Nuclear Generating Units, Total Operable Units",-0.66096442446963
pct_prefer_alternative_energy,-0.6764548029324345
percent_strongly_oppose,-0.7618267821659043
Nuclear Fuel Share (Percent),-0.7635426744081294
Nuclear Share of Electricity Net Generation,-0.780441593744329
percent_oppose,-0.9204913980697529
